rank,asteroid_id,name,risk_score,is_potentially_hazardous,diameter_km,velocity_kps,miss_distance_km,encounter_frequency,diameter_norm,velocity_norm,miss_distance_norm,encounter_frequency_norm
41,3799765,(2018 DC4),0.37342502265905164,0,0.014912230799999999,19.0733184884,7192959.489575402,3,0.0003751980867173714,0.3652965856516717,0.9054806590753391,0.2857142857142857
42,3393818,(2007 VV83),0.3725698965266857,0,0.0493790371,16.2702957092,8343148.382829675,4,0.0013387531356307623,0.3107753329012001,0.8900739527835019,0.42857142857142855
43,3114026,(2002 CC14),0.3723348850359938,0,0.04715661435,18.2701923272,3221481.327919149,2,0.0012766230199785186,0.3496750770609358,0.9586783537670032,0.14285714285714285
44,3893225,(2019 VU5),0.37226176395178623,0,0.05591683955,23.3149298582,4592716.377960523,1,0.0015215241328814077,0.44779964887263574,0.9403107484136884,0.0
45,2513529,513529 (2010 CR1),0.3720846720209785,0,0.97172330105,26.8058349375,10564687.373778446,1,0.027123836459852987,0.5157008159872111,0.8603165807986501,0.0
46,3182181,(2004 JP12),0.3720817191276598,0,0.0819488035,26.6551760153,7943557.078438852,1,0.0022492744814001757,0.5127703677449302,0.8954264526203791,0.0
47,3607729,(2012 QD8),0.37169437101375913,0,0.10902914764999999,21.3415525054,2971340.524666589,1,0.0030063333775719597,0.4094157276920977,0.9620289737477027,0.0
48,3371138,(2007 EJ88),0.3716779883806997,0,0.08157228295,25.8512521409,7264722.261004817,1,0.002238748461849239,0.4971333429324489,0.9045194013649007,0.0
49,3708359,(2015 BK509),0.37124143410474325,0,0.14505831115,18.0989422523,3600240.186445891,2,0.004013565730241406,0.3463441128295909,0.9536049032033808,0.14285714285714285
50,3893382,(2019 WW),0.3707493030762376,0,0.05266748945,24.2217442863,12947919.132757993,3,0.0014306852060806316,0.4654379852426046,0.8283933445795195,0.2857142857142857
51,2066146,66146 (1998 TU3),0.36969975531758476,0,5.77487538175,11.5296648069,13290710.758832328,2,0.16140089705474026,0.21856590187589736,0.8238016727826497,0.14285714285714285
52,3838104,(2019 CH1),0.3695170580510954,1,0.24521250665,38.040793626,23613187.587245848,2,0.006813479360297805,0.7342306213253039,0.6855327591873374,0.14285714285714285
53,3329371,(2006 GC1),0.36913138963700465,1,0.3416194718,30.6612921813,13278550.651090017,1,0.009508635308666013,0.5906928426013687,0.8239645566442151,0.0
54,3989350,(2020 BE15),0.36900676354399614,0,0.42222370940000004,35.9222501951,22181850.844942626,2,0.011762009741657635,0.693023092540284,0.7047054228452065,0.14285714285714285
55,3427460,(2008 ST),0.3688424198852974,0,0.01635093595,12.1445968274,5184852.797021148,4,0.0004154185701330396,0.2305268692868035,0.9323791191424688,0.42857142857142855
56,3447916,(2009 DB1),0.367589381705309,0,0.10557050935,26.5513517944,12581704.235148195,2,0.002909643583707008,0.5107508955410955,0.8332987695929761,0.14285714285714285
57,3841762,(2019 JZ2),0.36726182729764784,0,0.01834605185,28.0886356051,13908692.9176569,2,0.00047119408881265637,0.5406524146490865,0.8155238414886373,0.14285714285714285
58,3830873,(2018 SB2),0.36716643724049425,0,0.06361252245,23.6506648581,6207120.312281829,1,0.0017366648699891404,0.4543299892332488,0.9186859114861627,0.0
59,3767248,(2017 BP31),0.36693048095050884,1,0.46295909125,20.4503389429,4278974.833146174,1,0.012900809272700417,0.39208084184804526,0.9445132962393988,0.0
60,3719475,(2015 KJ19),0.36650388243927334,0,0.13537629275,23.1041371303,6042619.84654753,1,0.0037428949395742596,0.44369954534116274,0.9208893846507037,0.0
61,3842680,(2019 KK5),0.3660797415683334,0,0.11899880955,20.8331302779,3904096.678005315,1,0.0032850455383706956,0.39952646921900153,0.9495347650306161,0.0
62,3525129,(2010 KV39),0.36606479069637615,0,0.0187733863,17.8227820781,11379695.312916337,4,0.00048314066324395575,0.34097255510665664,0.8493996018420145,0.42857142857142855
63,3892309,(2019 VF1),0.365910915602661,0,0.10802956235,22.3942403678,8981853.990510246,2,0.0029783889415760257,0.42989143036535415,0.8815185322241516,0.14285714285714285
64,3467709,(2009 SW19),0.3655924516345825,0,0.51468631015,34.4175437105,18277136.37261357,1,0.014346896923047733,0.6637552310120362,0.7570088222098539,0.0
65,2221455,221455 (2006 BC10),0.3649122585233062,1,0.53646651175,19.003204075,3584832.90733736,1,0.01495578487847259,0.36393279878457974,0.9538112827166708,0.0
66,2000887,887 Alinda (A918 AA),0.36487737394938924,0,7.405299313,8.2486988813,12296605.087478507,1,0.20698107634814802,0.15474823552558076,0.8371176543500461,0.0
67,3692751,(2014 TN17),0.3648510242993668,1,0.21554731475,21.4671516983,5092311.165684686,1,0.005984158384532504,0.41185874220920077,0.9336187083457121,0.0
68,3840800,(2019 GS1),0.364377404281999,0,0.05514963175,21.559307832,8408043.11604739,2,0.0015000760490983815,0.4136512598780718,0.8892046920034368,0.14285714285714285
69,3378801,(2007 MK6),0.3637133526529133,0,0.39586090835,28.901026655,13073708.36710941,1,0.011025010501457455,0.556454133455118,0.8267084058710226,0.0
70,3662200,(2014 DH),0.362981950990661,0,0.0205846088,15.7158211069,6557208.888620941,3,0.0005337752526338214,0.29999031532658604,0.9139964975095389,0.2857142857142857
71,3422140,(2008 OS7),0.3626518835002897,1,0.36269587545,18.1668475019,2854115.543975867,1,0.010097847867936237,0.3476649295221981,0.9635991948289185,0.0
72,3774011,(2017 HC1),0.36207338155232816,0,0.2894293817,31.7783825585,15971129.113538414,1,0.008049607617460989,0.6124212307016693,0.7878976412166998,0.0
73,2152664,152664 (1998 FW4),0.3618150184452592,1,0.493790371,18.6064298474,3852719.354004421,1,0.013762729434638184,0.356215191882353,0.9502229609831111,0.0
74,3748562,(2016 GB1),0.3616454160863161,0,0.20967305204999998,25.3065791243,9590520.211256733,1,0.005819937324015255,0.48653897480074004,0.8733654873218734,0.0
75,2248590,248590 (2006 CS),0.3614957215660784,0,2.3963078854,33.4457431197,23591911.763214663,1,0.06694956492761145,0.6448528567512082,0.6858177474826406,0.0
76,3618405,(2012 WS3),0.3612404438159738,0,0.0271357992,19.2701851144,10449691.191913705,3,0.0007169205238077548,0.36912581428082397,0.8618569472628577,0.2857142857142857
77,3447919,(2009 DE1),0.3610752034302575,0,0.05291059149999999,18.2947751197,2508262.038457094,1,0.0014374813741282262,0.3501532339468343,0.9682318803041312,0.0
78,3805271,(2018 HA1),0.3607955561946234,0,0.1635093593,24.1777797355,8580788.040075686,1,0.004529383774069753,0.46458283614998397,0.8868907848499955,0.0
79,2154276,154276 (2002 SY50),0.36072966256929295,1,1.29283355895,22.9393969705,10540965.549773823,1,0.03610080425792327,0.4404952046710621,0.8606343331063706,0.0
80,3719730,(2015 KB57),0.3603577397166446,0,0.14912230804999999,33.489117301,21218744.948928714,2,0.004127178946902079,0.6456965226389957,0.7176061644145678,0.14285714285714285
81,3599405,(2012 DZ),0.36023499099527356,0,0.02396307885,16.6721788629,1066006.820812985,1,0.0006282238605479284,0.318592312899232,0.98755079623736,0.0
82,3838859,(2019 DJ1),0.36022668821948206,0,0.0187733863,12.3662936673,3995235.500195213,3,0.00048314066324395575,0.23483906736520033,0.9483139663657194,0.2857142857142857
83,3394543,(2007 VM184),0.3602163322487717,1,0.271357992,20.0178766677,4997961.030738007,1,0.00754440331640811,0.3836690711031951,0.934882522338565,0.0
84,2375103,375103 (2007 TD71),0.3602151669834228,1,0.85810931595,26.6845955425,13084889.626068737,1,0.023947640556541926,0.5133426033650518,0.8265586336259856,0.0
85,3546743,(2010 SP3),0.3600231678601459,0,0.04441632445,17.5358916731,2011770.76326459,1,0.0012000153950756168,0.335392284978722,0.9748823490212376,0.0
86,54480959,(2024 SU),0.35987787263336424,0,0.04344528165,17.4966264306,2007213.802707372,1,0.0011728688940477279,0.3346285415562507,0.9749433892149834,0.0
87,3837511,(2018 YC2),0.35984683486216684,0,0.1240345333,41.510474348,25486311.88234251,1,0.0034258243793811424,0.8017189560656987,0.660442379657582,0.0
88,3837605,(2019 AE3),0.3598102531197878,0,0.01424106985,9.0801480023,8015037.813003956,5,0.0003564350914930066,0.17092065053825378,0.8944689727756091,0.5714285714285714
89,2458122,458122 (2010 EW45),0.35895490356567405,1,1.3290539694,19.9438578541,8183511.82256226,1,0.03711338311594218,0.38222934022604266,0.8922122742469621,0.0
90,3713935,(2015 FS33),0.358853252693471,0,0.1322947521,20.6995668593,5610110.697726593,1,0.0036567472986847893,0.39692854352330453,0.9266828168977873,0.0
91,3759293,(2016 RJ20),0.35828586243036714,0,0.08008342095,14.784370218,6989691.079905704,3,0.0021971257920623,0.2818727781751889,0.9082034263569195,0.2857142857142857
92,3626611,(2013 CS83),0.3579674102894798,0,0.1518946987,22.2192250172,10911235.626765285,2,0.004204683981314501,0.4264872282175577,0.8556745892257606,0.14285714285714285
93,2875163,875163 (1998 SH2),0.35740931177991353,1,0.2867758772,17.3001955964,3108484.072793349,1,0.00797542616774862,0.3308077894600224,0.960191944736032,0.0
94,3014109,(1998 SH2),0.35740931177991353,1,0.2867758772,17.3001955964,3108484.072793349,1,0.00797542616774862,0.3308077894600224,0.960191944736032,0.0
95,3798998,(2018 CH),0.3570449778363552,0,0.0225705747,19.4231681305,8074124.797873383,2,0.0005892949736447821,0.37210146818888745,0.8936775064113515,0.14285714285714285
96,3392369,(2007 VX6),0.35692134022205935,0,0.32926276195,26.6063200552,12357137.337370005,1,0.009163190765290222,0.5118200764491387,0.8363068287537184,0.0
97,3753797,(2016 LC9),0.35656846181063495,0,0.0171215318,17.0631097025,9447841.826175926,3,0.00043696137034134335,0.3261962607771971,0.8752766551187682,0.2857142857142857
98,3441846,(2008 YN2),0.3563064712717104,0,0.023634293049999998,7.6958735178,4018013.720675023,4,0.0006190323150695465,0.1439952970928588,0.9480088535665598,0.42857142857142855
99,2162882,162882 (2001 FD58),0.3562194717973245,1,0.7508317288,19.1619204132,6498207.907566977,1,0.02094858518036602,0.36701997083856547,0.9147868118582166,0.0
100,3802577,(2018 GY3),0.3561562260471065,0,0.012988010099999999,12.887245933,9051394.575339533,4,0.0003214045163305306,0.24497204607658524,0.8805870405603813,0.42857142857142855
